"","contribution","threshold"
"1",3.97293595964271,2
"2",5.40067184328286,3
"3",5.71551256453494,4
"4",6.6499059403512,5
"5",7.07488258406306,6
"6",7.55339010356181,7
"7",8.14009372743427,8
"8",7.97717990817084,9
"9",8.75050336533106,10
"10",9.52471088107353,11
"11",8.37653087749915,12
"12",9.71876716699872,13
"13",9.49966335270877,14
"14",8.70398576818194,15
"15",9.40611846015889,16
"16",9.68297725244112,17
"17",9.8760117610146,18
"18",9.84500816494828,19
"19",9.85628854485979,20
"20",9.82242960866518,21
"21",10.052900896475,22
"22",9.03599283770634,23
"23",8.81258748276091,24
"24",9.02969960544409,25
"25",10.699311142571,26
"26",10.8870912916516,27
"27",9.33733698962171,28
"28",9.87739197117371,29
"29",9.63795484873762,30
"30",10.6250945932043,31
"31",9.56662648755425,32
"32",8.99243964610682,33
"33",10.4719023347347,34
"34",9.96153988825013,35
"35",10.8475665626598,36
"36",9.9325357205907,37
"37",10.4506534316412,38
"38",8.6609783294874,39
"39",11.1249346646591,40
"40",9.48228576206849,41
"41",10.0943132527299,42
"42",9.80336985943447,43
"43",9.83958997003911,44
"44",10.2680315946665,45
"45",10.7699505207366,46
"46",9.69184895734875,47
"47",9.53796864220073,48
"48",10.2730089544679,49
"49",11.4877594942534,50
